Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
167,11,0.1,adasyn,mean,0.5,60.145491026,0.2562929530966198,0.2540995227509632,289,245,505,252,504,241,252
168,11,0.1,adasyn,mean,0.7,60.106802136,0.25382125356071966,0.25036385093239827,196,355,706,156,303,346,147
169,11,0.2,adasyn,zero,0.3,60.033091747,0.25883893138614444,0.2801820083463361,498,147,287,315,668,140,353
170,11,0.2,adasyn,zero,0.5,60.172662622,0.25586032921768054,0.2548951180636256,238,239,478,232,477,243,250
171,11,0.2,adasyn,zero,0.7,60.156987518,0.258943361187412,0.2470113642918315,156,341,669,159,286,334,159
172,11,0.2,adasyn,mean,0.3,60.030625368,0.25692812256381026,0.2514172308936831,335,160,303,369,706,151,342
173,11,0.2,adasyn,mean,0.5,60.157091877,0.25613472700147283,0.25326326313869185,185,239,505,238,504,254,239
174,11,0.2,adasyn,mean,0.7,60.340503167,0.2566377629671711,0.24955158638061964,136,335,706,145,303,348,145
175,11,0.3,adasyn,zero,0.3,60.079034695,0.24971351380866863,0.2809673424634565,332,156,287,336,668,157,336
176,11,0.3,adasyn,zero,0.5,60.096683717,0.2732326576676104,0.2522835247489395,228,230,478,260,477,233,260
177,11,0.3,adasyn,zero,0.7,60.228966873,0.2597601314060398,0.25019323086645384,165,338,669,140,286,347,146
178,11,0.3,adasyn,mean,0.3,60.02536067,0.26647841784867216,0.25041203100696646,364,146,303,361,706,147,346
179,11,0.3,adasyn,mean,0.5,60.264951873,0.267464171243081,0.25132157742696953,185,236,505,247,504,246,247
180,11,0.3,adasyn,mean,0.7,60.09393499,0.26481794993783897,0.28362414493896376,142,358,706,158,303,335,158
181,12,0.01,adasyn,zero,0.3,60.139180176,0.473775253571691,0.48792220703659056,331,151,287,342,668,151,342
182,12,0.01,adasyn,zero,0.5,60.119031443,0.25022997589076174,0.25014624358678256,201,251,478,241,477,252,241
183,12,0.01,adasyn,zero,0.7,60.677126193,0.24759301979753914,0.2514761427984727,196,336,669,151,286,341,152
184,12,0.01,adasyn,mean,0.3,60.045138495,0.24927874900198038,0.24908587680983754,417,141,303,367,706,152,341
185,12,0.01,adasyn,mean,0.5,60.00160622,0.2514850362720251,0.2546713331324579,278,248,505,232,504,261,232
186,12,0.01,adasyn,mean,0.7,60.034885307,0.25005854855890414,0.24859070339543726,167,337,706,166,303,354,139
187,12,0.05,adasyn,zero,0.3,60.036893393,0.25153052328347175,0.2475865269587014,436,142,287,339,668,154,339
188,12,0.05,adasyn,zero,0.5,60.190912045,0.2503833646940711,0.2509371626574947,274,249,478,234,477,258,235
189,12,0.05,adasyn,zero,0.7,60.182531272,0.24948685916492125,0.2551064248308887,151,352,669,132,286,339,154
190,12,0.05,adasyn,mean,0.3,60.062362091,0.24842812923696098,0.2624843053206118,472,167,303,329,706,164,329
191,12,0.05,adasyn,mean,0.5,60.02751979,0.2501492806993077,0.2566660102621135,275,261,505,247,504,234,259
192,12,0.05,adasyn,mean,0.7,60.277552512,0.2524533141491771,0.25306425358490164,206,339,706,146,303,347,146
193,12,0.1,adasyn,zero,0.3,60.050465509,0.24807618641801255,0.2519278324872841,395,159,287,334,668,159,334
194,12,0.1,adasyn,zero,0.5,60.164394834,0.2525659368661029,0.25432432484842793,229,259,478,228,477,264,229
195,12,0.1,adasyn,zero,0.7,60.266157604,0.24879899337735656,0.2550982084425173,226,358,669,136,286,356,137
196,12,0.1,adasyn,mean,0.3,60.024088719,0.254427779678142,0.25188772052377145,492,148,303,335,706,157,336
197,12,0.1,adasyn,mean,0.5,60.005709752,0.25251982831052333,0.2480733703155751,221,255,505,255,504,238,255
198,12,0.1,adasyn,mean,0.7,60.139215824,0.2561704910612549,0.26390274492243543,201,356,706,134,303,359,134
199,12,0.2,adasyn,zero,0.3,60.145787627,0.2553411136183611,0.26764143738595647,510,140,287,328,668,143,350
200,12,0.2,adasyn,zero,0.5,60.120789345,0.2603480383520646,0.24889087737823673,274,242,478,251,477,242,251
201,12,0.2,adasyn,zero,0.7,60.076212437,0.25894069150768745,0.2793646068137245,215,335,669,148,286,345,148
202,12,0.2,adasyn,mean,0.3,60.072268716,0.2617657799385738,0.2541357857551722,493,146,303,348,706,135,358
203,12,0.2,adasyn,mean,0.5,60.106464132,0.2524220388479815,0.26204414889070843,294,249,505,252,504,241,252
204,12,0.2,adasyn,mean,0.7,60.176625837,0.25924909297281307,0.24749359517554578,186,334,706,168,303,358,135
205,12,0.3,adasyn,zero,0.3,60.049976155,0.2596353481304057,0.24929302245358423,435,151,287,354,668,146,347
206,12,0.3,adasyn,zero,0.5,60.012782903,0.2657974525705672,0.2697481293780508,303,244,478,225,477,241,252
207,12,0.3,adasyn,zero,0.7,60.158235371,0.26243432542169176,0.26238239797146923,218,335,669,143,286,350,143
208,12,0.3,adasyn,mean,0.3,60.096993774,0.2654451170743436,0.24849561086578426,391,157,303,377,706,159,334
209,12,0.3,adasyn,mean,0.5,60.003801446,0.2662792216730854,0.2521228872349019,291,253,505,250,504,239,254
210,12,0.3,adasyn,mean,0.7,60.083849209,0.26270918516485736,0.2680921750796677,204,375,706,145,303,335,158
