Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
177,11,0.3,,zero,0.7,60.125325089,0.17316259937452888,0.15872183626704792,431,343,437,150,187,343,150
178,11,0.3,,mean,0.3,60.01948011,0.16640171854456656,0.16881821179228,1003,149,187,344,437,149,344
179,11,0.3,,mean,0.5,60.070180901,0.17640597373159012,0.159500797721928,595,241,312,250,312,243,250
180,11,0.3,,mean,0.7,60.000926401,0.1578767607477193,0.20066595588831615,435,354,437,139,187,354,139
181,12,0.01,,zero,0.3,60.005551485,0.18649086430913409,0.16162024150387755,930,142,187,349,437,142,351
182,12,0.01,,zero,0.5,60.071118731,0.16289174160464184,0.16831493035098732,564,248,312,245,312,248,245
183,12,0.01,,zero,0.7,60.048669587,0.17921519418865536,0.13611613686298635,388,335,437,158,187,335,158
184,12,0.01,,mean,0.3,60.040484996,0.19437234306060155,0.15852279324418717,938,137,187,355,437,137,356
185,12,0.01,,mean,0.5,60.097545299,0.16163381374990052,0.17128389788359658,560,249,312,244,312,249,244
186,12,0.01,,mean,0.7,60.075529817,0.16729943931694866,0.16507268323514165,399,344,437,148,187,345,148
187,12,0.05,,zero,0.3,60.063404446,0.17740887563669486,0.16679994450481608,923,144,187,345,437,143,350
188,12,0.05,,zero,0.5,60.063396895,0.17158788736020855,0.16128981483867463,551,244,312,249,312,244,249
189,12,0.05,,zero,0.7,60.056445043,0.16722026406053564,0.19205714085670153,396,346,437,141,187,348,145
190,12,0.05,,mean,0.3,60.02806855,0.15564809225255077,0.1719349219856401,920,151,187,341,437,151,342
191,12,0.05,,mean,0.5,60.033464079,0.1655811230169934,0.1675209314935973,550,247,312,246,312,247,246
192,12,0.05,,mean,0.7,60.139743134,0.15163598695095132,0.20075597559634667,392,356,437,137,187,356,137
193,12,0.1,,zero,0.3,60.058142169,0.1550614101012677,0.17439067858058274,926,151,187,342,437,151,342
194,12,0.1,,zero,0.5,60.055537035,0.16463075469462415,0.16800897118080163,559,248,312,245,312,248,245
195,12,0.1,,zero,0.7,60.067572021,0.1588177728519836,0.1929868464707908,386,352,437,141,187,352,141
196,12,0.1,,mean,0.3,60.021006465,0.1683401825728318,0.16588904311339903,940,148,187,345,437,148,345
197,12,0.1,,mean,0.5,60.05876295,0.15625790780993304,0.17637662212087463,564,252,312,241,312,252,241
198,12,0.1,,mean,0.7,60.077160745,0.16172135024014364,0.17726521373995877,395,349,437,144,187,349,144
199,12,0.2,,zero,0.3,60.022842607,0.15091280440311186,0.18410417672830753,939,153,187,337,437,152,341
200,12,0.2,,zero,0.5,60.002612748,0.16916229486537884,0.16354613902200277,560,245,312,248,312,245,248
201,12,0.2,,zero,0.7,60.006303329,0.1536510723534823,0.20463403109448314,390,356,437,137,187,356,137
202,12,0.2,,mean,0.3,60.039477259,0.14385266567079041,0.1755557748178117,927,155,187,338,437,155,338
203,12,0.2,,mean,0.5,60.087157961,0.16014175170875905,0.18288242692288093,560,251,312,242,312,251,242
204,12,0.2,,mean,0.7,60.120517628,0.17503037859838236,0.15244063500878677,392,341,437,152,187,341,152
205,12,0.3,,zero,0.3,60.005221429,0.17959831782662977,0.1624786379805307,922,145,187,348,437,145,348
206,12,0.3,,zero,0.5,60.081058032,0.167770376633646,0.17139898056410355,553,249,312,244,312,249,244
207,12,0.3,,zero,0.7,60.041926328,0.17915159395618344,0.14728059681391065,400,337,437,156,187,337,156
208,12,0.3,,mean,0.3,60.010592017,0.152796227983224,0.1777113073458492,923,153,187,340,437,153,340
209,12,0.3,,mean,0.5,60.065006843,0.16934495256328763,0.17075661181743018,545,246,312,247,312,246,247
210,12,0.3,,mean,0.7,60.05811274,0.17122563300867105,0.16610167285160113,396,345,437,148,187,345,148
211,13,0.01,,zero,0.3,60.001645376,0.16442236057434,0.16570599514076256,866,148,187,345,437,148,345
212,13,0.01,,zero,0.5,60.094303799,0.17116870429887351,0.16116875240134027,511,244,312,249,312,244,249
213,13,0.01,,zero,0.7,60.015365136,0.16598804563204256,0.16484965134865223,362,345,437,148,187,345,148
214,13,0.01,,mean,0.3,60.002018561,0.14883262323860597,0.17482812010246723,859,153,187,340,437,153,340
215,13,0.01,,mean,0.5,60.072142821,0.18239367891292094,0.1537227735058005,519,238,312,254,312,239,254
216,13,0.01,,mean,0.7,60.126552144,0.1638141714137637,0.17140930839390453,362,347,437,146,187,347,146
217,13,0.05,,zero,0.3,60.029085235,0.16747390798242662,0.16436933613129434,859,147,187,346,437,147,346
218,13,0.05,,zero,0.5,60.049630277,0.1683968650310389,0.16609138106061808,519,246,312,246,312,246,247
219,13,0.05,,zero,0.7,60.153034468,0.17199606177322982,0.15250267399318804,371,341,437,152,187,341,152
220,13,0.05,,mean,0.3,60.057691522,0.15920118132916763,0.16815555742010568,865,150,187,343,437,150,343
221,13,0.05,,mean,0.5,60.023060745,0.17450852313173068,0.1584421351535558,512,242,312,251,312,242,251
222,13,0.05,,mean,0.7,60.01637024,0.17156014874403852,0.1554016060341469,367,342,437,151,187,342,151
223,13,0.1,,zero,0.3,60.047438536,0.1799678643150289,0.16060520670810408,868,144,187,349,437,144,349
224,13,0.1,,zero,0.5,60.024675742,0.1597483587653586,0.17608691401291482,516,251,312,242,312,251,242
225,13,0.1,,zero,0.7,60.058062095,0.17558938060047757,0.14778794956085767,355,339,437,154,187,339,154
226,13,0.1,,mean,0.3,60.023241131,0.16076241816586548,0.1682556165451708,861,150,187,343,437,150,343
227,13,0.1,,mean,0.5,60.023554404,0.20190307859387918,0.2178985278130745,515,249,312,244,312,249,244
228,13,0.1,,mean,0.7,60.020966244,0.8054878668366919,0.7540066927949671,366,85,437,46,187,352,141
229,13,0.2,,zero,0.3,60.051920003,0.1707374710523567,0.1647032402129412,872,147,187,346,437,147,346
230,13,0.2,,zero,0.5,60.06329312,0.14042912512751057,0.19407111038054056,520,260,312,233,312,260,233
231,13,0.2,,zero,0.7,60.141592513,0.16622428245706586,0.17508591686677846,364,347,437,146,187,347,146
232,13,0.2,,mean,0.3,60.031694259,0.17581320966174255,0.1621883140072214,862,145,187,347,437,145,348
